title,content,answer,solution,questionTypeCode,problemLevelCode,problemTypeCode,problemTypeDetailCode,metadata,createdDate,modifiedDate,contentID,classification,word_count,word_avg,word_hard,length,Difficulty_Level
클림트가 아주 인기 있었을 때는 언제인가요?,구스타프 클림트(1862 1918)는 황금빛 색채로 유명한 오스트리아의 화가예요. 전통적인 미술에 반대하면서 새로운 시도를 했지요. 사랑과 죽음을 직접적으로 묘사하는 클림트의 그림을 인정하지 않는 사람도 많았어요. 하지만 20세기 말쯤 그는 아주 인기 있는 화가가 되었어요.,20세기 말쯤,클림트는 20세기 말쯤에 아주 인기 있는 화가가 되었다고 알려져 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['19세기 초', '21세기 초', '20세기 말쯤', '18세기 중반']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29295,예술경험,33.0,5.0,5.0,153.0,1
볼트라피오는 교회에서 주로 무엇을 하였나요?,조반니 안토니오 볼트라피오(1466 67 1516)는 이탈리아의 화가예요. 레오나르도 다빈치에게 그림을 배웠을 뿐만 아니라 영향을 아주 많이 받았지요. 주로 교회의 제단화나 초상화를 그렸어요.,제단화나 초상화를 그렸어요.,볼트라피오는 주로 교회의 제단화나 초상화를 그렸기 때문이에요.,QT01,PL01,PT02,PT0211,"{'options': ['음식을 만들었어요.', '노래를 불렀어요.', '제단화나 초상화를 그렸어요.', '책을 읽었어요.']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29186,예술경험,22.0,3.0,5.0,107.0,1
볼트라피오는 어디서 태어났나요?,조반니 안토니오 볼트라피오(1466 67 1516)는 이탈리아의 화가예요. 레오나르도 다빈치에게 그림을 배웠을 뿐만 아니라 영향을 아주 많이 받았지요. 주로 교회의 제단화나 초상화를 그렸어요.,이탈리아,지문에서 볼트라피오가 이탈리아의 화가라고 언급되어 있기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['프랑스', '스페인', '이탈리아', '독일']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29186,예술경험,22.0,3.0,5.0,107.0,1
볼트라피오에게 그림을 가르치고 영향을 많이 줬던 사람은 누구인가요?,조반니 안토니오 볼트라피오(1466 67 1516)는 이탈리아의 화가예요. 레오나르도 다빈치에게 그림을 배웠을 뿐만 아니라 영향을 아주 많이 받았지요. 주로 교회의 제단화나 초상화를 그렸어요.,레오나르도 다빈치,"볼트라피오는 레오나르도 다빈치에게 그림을 배웠고, 그에게 많은 영향을 받았기 때문입니다.",QT01,PL01,PT02,PT0211,"{'options': ['미켈란젤로', '파블로 피카소', '레오나르도 다빈치', '빈센트 반 고흐']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29186,예술경험,22.0,3.0,5.0,107.0,1
조반니 안토니오 볼트라피오의 젊은 여인의 초상은 어디에 보관되어 있나요?,"젊은 여인의 초상. 조반니 안토니오 볼트라피오, 15 16세기경, 스포르체스코성 고미술 박물관. 볼트라피오는 레오나르도 다빈치 제자 중 한 명이었어요.",스포르체스코성 고미술 박물관,지문에 의하면 젊은 여인의 초상은 스포르체스코성 고미술 박물관에 보관되어 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['파리의 미술관', '스포르체스코성 고미술 박물관', '뉴욕의 현대미술관', '런던의 대영 박물관']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29185,예술경험,18.0,4.0,4.0,84.0,1
조반니 안토니오 볼트라피오는 누구의 제자였었나요?,"젊은 여인의 초상. 조반니 안토니오 볼트라피오, 15 16세기경, 스포르체스코성 고미술 박물관. 볼트라피오는 레오나르도 다빈치 제자 중 한 명이었어요.",레오나르도 다빈치,볼트라피오는 레오나르도 다빈치의 제자였기 때문에 정답은 레오나르도 다빈치입니다.,QT01,PL01,PT02,PT0211,"{'options': ['미켈란젤로', '레오나르도 다빈치', '피카소', '반 고흐']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29185,예술경험,18.0,4.0,4.0,84.0,1
그리스 신화를 보는 듯한 구스타프 클림트의 석판화 작품은 어디에 전시하고 있나요?,"음악. 구스타프 클림트, 1901년, 빈 미술사 박물관. 클림트에게 음악은 아주 중요했어요. 베토벤이나 슈베르트의 음악을 그림으로 표현할 만큼 클림트는 음악에 대한 열정을 어머니에게 물려받았어요. 또 음악을 표현할 때 오래된 악기인 리라를 연주하는 그림을 그리곤 했어요. 이 그림은 돌을 이용해서 석판화로 그리스 신화를 보는 듯하지요.",빈 미술사 박물관,지문에 따르면 클림트의 석판화 작품은 빈 미술사 박물관에 전시되고 있다고 했다.,QT01,PL01,PT02,PT0211,"{'options': ['국립박물관', '빈 미술사 박물관', '서울 미술관', '우리 집']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29184,예술경험,43.0,2.4,5.0,187.0,1
클림트의 음악에 대한 열정은 누구에게 물려받았을까요?,"음악. 구스타프 클림트, 1901년, 빈 미술사 박물관. 클림트에게 음악은 아주 중요했어요. 베토벤이나 슈베르트의 음악을 그림으로 표현할 만큼 클림트는 음악에 대한 열정을 어머니에게 물려받았어요. 또 음악을 표현할 때 오래된 악기인 리라를 연주하는 그림을 그리곤 했어요. 이 그림은 돌을 이용해서 석판화로 그리스 신화를 보는 듯하지요.",어머니,클림트는 어머니에게 음악에 대한 열정을 물려받았다고 했기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['아버지', '형', '어머니', '친구']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29184,예술경험,43.0,2.4,5.0,187.0,1
볼트라피오의 그림을 보면 어떤 그림이 떠오르나요?,"그래서 볼트라피오의 그림을 보면 왠지 낯익게 느껴져요. 그림 속 젊은 여인의 얼굴 표정은 자연스럽고 편안해요. 또 정면을 향한 몸동작이 아주 안정적으로 보이지요. 뒷배경과 손을 놓은 위치가 조금 다르지만, 어딘지 모르게 모나리자를 떠올리게 해요.",모나리자,지문에서 볼트라피오의 그림이 모나리자를 떠올리게 한다고 언급되었기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['꽃', '해바라기', '모나리자', '풍경 그림']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29183,예술경험,33.0,2.142857142857143,5.0,137.0,1
구스타프 클림트의 직업은 무엇인가요?,구스타프 클림트(1862 1918)는 황금빛 색채로 유명한 오스트리아의 화가예요. 전통적인 미술에 반대하면서 새로운 시도를 했지요. 사랑과 죽음을 직접적으로 묘사하는 클림트의 그림을 인정하지 않는 사람도 많았어요. 하지만 20세기 말쯤 그는 아주 인기 있는 화가가 되었어요.,화가,구스타프 클림트는 오스트리아의 화가로 유명하다고 지문에 나와 있어요.,QT01,PL01,PT02,PT0211,"{'options': ['음악가', '조각가', '화가', '건축가']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29295,예술경험,33.0,5.0,5.0,153.0,1
토끼의 작품은 어디에서 발견되었나요?,"토끼. 작자 미상, 3세기경, 키프로스 파포스의 고대 유적지. 모자이크는 돌이나 유리, 조개껍데기, 타일 같은 재료를 조각조각 붙여서 만드는 작품을 말해요. 이 작품은 술과 풍요의 신 '디오니소스의 저택'에서 발견된 모자이크들 중 하나예요. 이곳은 수많은 신들을 묘사한 모자이크 바닥 장식으로 아주 유명한 곳이에요. '디오니소스의 저택'이 있는 파포스 지역은 유네스코 세계 문화유산으로 지정되어 있어요.",디오니소스의 저택,지문에서 '디오니소스의 저택에서 발견된 모자이크들 중 하나예요'라고 언급되었기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['동물원', '공원', '디오니소스의 저택', '학교']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29245,예술경험,51.0,2.8,5.0,225.0,1
크레인의 넵투누스의 말은 어디에 전시되어 있나요?,"넵투누스의 말. 월터 크레인, 1910년, 파리 장식 미술 도서관. 로마 신화에 나오는 바다의 신 넵투누스가 말을 이끌고 달리고 있어요. 말이 파도인지 파도가 말인지 구분이 안 될 정도예요. 이 그림은 크레인의 대표작인 넵투누스의 말을 그림책 삽화로 넣기 위해 그린 거예요. 도서관에 가면이 그림이 실린 책을 찾을 수 있어요.",파리 장식 미술 도서관,지문에서 넵투누스의 말이 파리 장식 미술 도서관에 전시되어 있다고 언급되고 있기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['서울 어린이 박물관', '뉴욕 현대 미술관', '파리 장식 미술 도서관', '로마 국립 미술관']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29291,예술경험,47.0,3.0,5.0,182.0,1
크레인은 어느 나라의 예술가인가요?,"월터 크레인(1845 1915)은 영국의 판화가, 장식 예술가이자 화가예요. 가계로 생산하는 것보다 수작업에 의미를 두는 운동을 했어요. 그림뿐만 아니라 벽지, 자수, 그림책의 삽화 등 여러 분야에서 활동했어요.",영국,지문에서 크레인이 영국의 예술가라고 언급되었기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['한국', '미국', '영국', '프랑스']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29292,예술경험,26.0,1.5,2.0,118.0,1
젊은 나이에 세상을 떠난 페데리코 아내의 이름은 무엇인가요?,이탈리아 한 도시의 공작 페데리코와 그의 아내 바티스타예요. 페데리코는 능력이 뛰어난 사람으로 작은 도시를 아주 크게 발전시켰어요. 그의 아내 바티스타는 젊은 나이에 세상을 떠났어요.,바티스타,페데리코의 아내 바티스타는 젊은 나이에 세상을 떠났다는 내용이 지문에 나와 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['루이자', '소피아', '바티스타', '안나']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29188,예술경험,24.0,4.5,5.0,102.0,1
피에로 델라프란체스카는 어느 나라의 화가인가요?,"그림 속 바티스타의 얼굴이 창백한 건, 살아 있을 때 그린 초상화가 아니기 때문이에요. 페데리코는 오른쪽 얼굴과 눈을 심하게 다쳤지만, 옆얼굴로 초상화를 그린 덕분에 다친 얼굴을 감출 수 있었어요. 피에로 델라프란체스카(1416 1492)는 르네상스 미술에 영향을 준 이탈리아의 화가예요.",이탈리아,지문에서 피에로 델라프란체스카는 이탈리아의 화가라고 언급했기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['프랑스', '스페인', '이탈리아', '독일']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29187,예술경험,37.0,3.0,6.0,161.0,1
페데리코는 어디를 다쳤나요?,"그림 속 바티스타의 얼굴이 창백한 건, 살아 있을 때 그린 초상화가 아니기 때문이에요. 페데리코는 오른쪽 얼굴과 눈을 심하게 다쳤지만, 옆얼굴로 초상화를 그린 덕분에 다친 얼굴을 감출 수 있었어요. 피에로 델라프란체스카(1416 1492)는 르네상스 미술에 영향을 준 이탈리아의 화가예요.",눈,지문에서 페데리코가 오른쪽 얼굴과 눈을 심하게 다쳤다고 언급되었습니다.,QT01,PL01,PT02,PT0211,"{'options': ['코', '입', '눈', '귀']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29187,예술경험,37.0,3.0,6.0,161.0,1
루소는 시간이 갈수록 밀림의 식물들을 어떻게 표현했나요?,하지만 루소의 그림 속 밀림에는 실제로 존재하는 식물이 거의 없어요. 그건 어쩌면 루소의 상상 속에 존재하는 것을 그렸기 때문인지도 몰라요. 이 그림은 밀림을 그린 루소의 초기 그림이에요. 식물들이 대부분 위로 향하는 초록색 잎들로 채워져 있어요. 시간이 흐를수록 루소가 그린 밀림의 식물들은 더 아름답고 복잡하게 표현했어요.,아름답고 복잡하게 표현했어요.,루소는 시간이 지나면서 밀림의 식물들을 더 아름답고 복잡하게 표현했기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['단순하고 지루하게 표현했어요.', '아름답고 복잡하게 표현했어요.', '작고 귀여운 식물들로 표현했어요.', '색깔이 없는 식물들로 표현했어요.']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29171,예술경험,45.0,2.4444444444444446,4.0,182.0,1
밀림에 실제로 존재하는 식물이 거의 없었던 건 어떤 화가의 그림인가요?,하지만 루소의 그림 속 밀림에는 실제로 존재하는 식물이 거의 없어요. 그건 어쩌면 루소의 상상 속에 존재하는 것을 그렸기 때문인지도 몰라요. 이 그림은 밀림을 그린 루소의 초기 그림이에요. 식물들이 대부분 위로 향하는 초록색 잎들로 채워져 있어요. 시간이 흐를수록 루소가 그린 밀림의 식물들은 더 아름답고 복잡하게 표현했어요.,루소,루소의 그림 속 밀림에는 실제로 존재하는 식물이 거의 없다고 했기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['피카소', '다빈치', '루소', '모네']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29171,예술경험,45.0,2.4444444444444446,4.0,182.0,1
루소의 그림에는 대부분 어떤 것들로 채워져 있나요?,하지만 루소의 그림 속 밀림에는 실제로 존재하는 식물이 거의 없어요. 그건 어쩌면 루소의 상상 속에 존재하는 것을 그렸기 때문인지도 몰라요. 이 그림은 밀림을 그린 루소의 초기 그림이에요. 식물들이 대부분 위로 향하는 초록색 잎들로 채워져 있어요. 시간이 흐를수록 루소가 그린 밀림의 식물들은 더 아름답고 복잡하게 표현했어요.,잎,루소의 그림에서 식물들이 대부분 위로 향하는 초록색 잎들로 채워져 있다고 했기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['꽃', '열매', '잎', '나무']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29171,예술경험,45.0,2.4444444444444446,4.0,182.0,1
루소가 태어난 곳은 어디인가요?,"앙리 루소(1844 1910)는 프랑스의 화가로 세관원 출신이에요. 그림을 제대로 배운 적이 없지만 자기만의 스타일대로 그림을 그렸어요. 특히 루소는 밀림에 가 본 적이 없지만, 밀림을 그린 그림이 아주 많아요.",프랑스,루소는 프랑스에서 태어난 화가입니다.,QT01,PL01,PT02,PT0211,"{'options': ['독일', '영국', '프랑스', '이탈리아']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29281,예술경험,28.0,4.0,5.0,118.0,1
세관원 출신의 프랑스 화가는 누구일까요?,"앙리 루소(1844 1910)는 프랑스의 화가로 세관원 출신이에요. 그림을 제대로 배운 적이 없지만 자기만의 스타일대로 그림을 그렸어요. 특히 루소는 밀림에 가 본 적이 없지만, 밀림을 그린 그림이 아주 많아요.",앙리 루소,지문에 따르면 앙리 루소가 세관원 출신의 프랑스 화가라고 나와 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['피카소', '고흐', '앙리 루소', '몽드리안']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29281,예술경험,28.0,4.0,5.0,118.0,1
월터 크레인이 활동한 분야는 그림과 그림책의 삽화 외에 어떤 것이 있나요?,"월터 크레인(1845 1915)은 영국의 판화가, 장식 예술가이자 화가예요. 가계로 생산하는 것보다 수작업에 의미를 두는 운동을 했어요. 그림뿐만 아니라 벽지, 자수, 그림책의 삽화 등 여러 분야에서 활동했어요.",벽지와 자수,지문에서 월터 크레인은 벽지와 자수 분야에서도 활동했다고 했기 때문에 정답은 '벽지와 자수'입니다.,QT01,PL01,PT02,PT0211,"{'options': ['음악', '건축', '벽지와 자수', '조각']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29292,예술경험,26.0,1.5,2.0,118.0,1
존 러셀의 헨리에타 라이스 작품은 어디에 소장되어 있나요?,"헨리에타 라이스. 존 러셀, 1766년, 뉴턴 하우스. 파란색 줄무늬 소매의 드레스를 입은 여자아이가 토끼를 안고 있어요. 아주 부드럽고 포근해 보이지요.",뉴턴 하우스,지문에 명시된 내용에 따르면 헨리에타 라이스 작품은 뉴턴 하우스에 소장되어 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['파란색 집', '오렌지 하우스', '뉴턴 하우스', '초록색 정원']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29212,예술경험,20.0,3.0,5.0,86.0,1
윈슬로 호머의 노 젓는 배는 어느 때 작품인가요?,"노 젓는 배. 윈슬로 호머, 1880년, 개인 소장. 물에 녹는 수채화 물감으로 그렸어요. 바다를 향해 나아가는 작은 배가 왠지 조금 위태롭게 보이지만 노를 젓는 사람은 편안해 보여요.",1880년,지문에서 1880년이라고 언급되었기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['1770년', '1850년', '1880년', '1900년']}",2024-09-23T14:33:42.611692,2024-09-23T14:33:42.611692,9791128216381_29209,예술경험,27.0,1.0,1.0,103.0,1
노 젓는 배는 무엇을 이용해 그렸나요?,"노 젓는 배. 윈슬로 호머, 1880년, 개인 소장. 물에 녹는 수채화 물감으로 그렸어요. 바다를 향해 나아가는 작은 배가 왠지 조금 위태롭게 보이지만 노를 젓는 사람은 편안해 보여요.",수채화 물감,지문에서 물에 녹는 수채화 물감으로 그렸다고 했기 때문에 정답은 수채화 물감입니다.,QT01,PL01,PT02,PT0211,"{'options': ['유채 물감', '수채화 물감', '크레용', '색연필']}",2024-09-23T14:33:42.612692,2024-09-23T14:33:42.612692,9791128216381_29209,예술경험,27.0,1.0,1.0,103.0,1
작은 배에 편안해 보이는 사람은 누구인가요?,"노 젓는 배. 윈슬로 호머, 1880년, 개인 소장. 물에 녹는 수채화 물감으로 그렸어요. 바다를 향해 나아가는 작은 배가 왠지 조금 위태롭게 보이지만 노를 젓는 사람은 편안해 보여요.",노를 젓는 사람,노를 젓는 사람이 편안해 보인다고 했기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['작은 배의 주인', '바다의 물고기', '노를 젓는 사람', '배를 타고 있는 아이']}",2024-09-23T14:33:42.612692,2024-09-23T14:33:42.612692,9791128216381_29209,예술경험,27.0,1.0,1.0,103.0,1
존 러셀은 어느 나라의 화가인가요?,그건 주로 파스텔을 이용해서 그림을 그렸기 때문이에요. 아이 옷의 하얀 레이스와 머리에 두른 파란 리본이 여자아이를 더욱 사랑스러워 보이게 해요. 존 러셀(1745 1806)은 영국의 화가예요.,영국,존 러셀은 영국의 화가라고 지문에서 설명하고 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['프랑스', '독일', '영국', '스페인']}",2024-09-23T14:33:42.612692,2024-09-23T14:33:42.612692,9791128216381_29208,예술경험,25.0,1.0,1.0,108.0,1
여자아이가 더 사랑스럽게 보이는 것은 하얀 레이스와 무엇 때문일까요?,그건 주로 파스텔을 이용해서 그림을 그렸기 때문이에요. 아이 옷의 하얀 레이스와 머리에 두른 파란 리본이 여자아이를 더욱 사랑스러워 보이게 해요. 존 러셀(1745 1806)은 영국의 화가예요.,파란 리본,여자아이의 머리에 두른 파란 리본이 사랑스럽게 보이게 해주기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['빨간 모자', '노란 구두', '파란 리본', '초록색 드레스']}",2024-09-23T14:33:42.612692,2024-09-23T14:33:42.612692,9791128216381_29208,예술경험,25.0,1.0,1.0,108.0,1
거친 파도와 폭풍이라는 자연과 맞서는 건 누구인가요?,거친 파도와 폭풍이 이는 바다를 많이 그렸어요. 자연에 맞서는 사람의 모습을 표현하고 싶었던 것 같아요. 그 외에도 일상 속 아이들의 밝은 모습을 그리며 미래에 대한 희망을 표현했어요.,사람,사람이 자연과 맞서고 있다는 내용이 지문에 나와 있기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['동물', '바다', '사람', '모래']}",2024-09-23T14:33:42.612692,2024-09-23T14:33:42.612692,9791128216381_29207,예술경험,27.0,2.333333333333333,3.0,103.0,1
발라는 어느 나라 출신의 화가인가요?,자코모 발라(1871 1958)는 이탈리아의 미래주의 화가예요. 그는 연속적인 움직임을 한 장면에서 표현하려고 했어요. 그 결과 마치 움직이고 있는 것 같은 그림이 완성되었지요. 다른 화가들과는 달리 자기만의 상상력으로 그림을 그려 나갔어요.,이탈리아,지문에서 발라가 이탈리아의 미래주의 화가라고 설명하고 있기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['프랑스', '스페인', '이탈리아', '독일']}",2024-09-23T14:33:42.612692,2024-09-23T14:33:42.612692,9791128216381_29293,예술경험,30.0,3.6666666666666665,4.0,135.0,1
